name,address,lat,lon,resolved_address,node
Berta Block,"Mühlenstraße 62, 13187 Berlin, Germany",52.56389,13.4103585,"Berta Block, 62, Mühlenstraße, Tiroler Viertel, Pankow, Berlin, 13187, Deutschland",3658561459
Boulderklub Kreuzberg,"Ohlauer Straße 38, 10999 Berlin, Germany",52.4952197,13.4283367,"38, Ohlauer Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",8197365986
Bouldergarten,"Thiemannstraße 1, 12059 Berlin, Germany",52.4797351,13.4529875,"MSA - Auer GmbH, 1, Thiemannstraße, Harzer Kiez, Neukölln, Berlin, 12059, Deutschland",8038209152
Der Kegel,"Revaler Straße 99, 10245 Berlin, Germany",52.5060192,13.4560028,"Talgo Deutschland, 99, Revaler Straße, Boxhagener Kiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10245, Deutschland",3239458184
Elektra,"Gustav-Meyer-Allee 25, 13355 Berlin, Germany",52.5419669,13.3834015,"TIB20 - 21, 25, Gustav-Meyer-Allee, Brunnenviertel, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",1315854094
Ostbloc,"Hauptstraße 13, 10317 Berlin, Germany",52.4913944,13.4881283,"13, Hauptstraße, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland",1209011877
Südbloc,"Großbeerenstraße 2-10, Haus 4, 12107 Berlin, Germany",52.4402348,13.379587,"Südbloc Boulderhalle, 2-10, Großbeerenstraße, Alt-Mariendorf, Mariendorf, Tempelhof-Schöneberg, Berlin, Teltow, 12107, Deutschland",3988962039
urban apes Basement Berlin,"Stresemannstraße 72, 10963 Berlin, Germany",52.5036586,13.3841418,"Germanwatch, 72, Stresemannstraße, Zeitungsviertel, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",12884320331
urban apes bright site Berlin,"Wilhelm-Kabus-Straße 40, 10829 Berlin, Germany",52.4818049,13.3658336,"Urban Apes Bright Site, 40, Wilhelm-Kabus-Straße, Rote Insel, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",567574567
urban apes Fhain Berlin,"Friedenstraße 91 B, 10249 Berlin, Germany",52.5224895,13.436584,"urban apes fhain, 91B, Friedenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10249, Deutschland",11586008955
urban apes Berlin Wedding,"Müllerstraße 46, 13349 Berlin, Germany",52.5517557,13.3500725,"46, Müllerstraße, Brüsseler Kiez, Wedding, Mitte, Berlin, 13349, Deutschland",21538151
